id,chinese,pinyin,english,priority,quality,word1,word1_english,word2,word2_english,word3,word3_english,word4,word4_english,sentence,sentence_pinyin,sentence_english
47,打算,dǎ suàn,to plan;to intend;to calculate,1,5,打,to hit,算,count,,,,,我打算明年去旅行,wǒ dǎ suàn míng nián qù lǚ xíng,I plan to travel next year
48,大腿,dà tuǐ,thigh,1,1,大,big,腿,leg,,,,,他的大腿受伤了,tā de dà tuǐ shòu shāng le,his thigh is injured
49,大学,dà xué,university,1,3,大,big,学习,to study,,,,,我在北京读大学,wǒ zài běi jīng dú dà xué,I study at a university in Beijing
50,大一,dà yī,freshman (college),1,2,大学,college,一,one,,,,,我大一的时候经常迷路,wǒ dà yī de shí hòu jīng cháng mí lù,i often got lost in freshman year
51,大约,dà yuē,about;approximately,1,,-,,,,,,,,我大约五点到,Wǒ dàyuē wǔ diǎn dào,I will arrive around five
52,大众点评,dà zhòng diǎn píng,Chinese Yelp,1,4,大众,the masses,点评,point by point commentary,,,,,我们在大众点评上找了一家猫咖,wǒmen zài dàzhòng diǎnpíng shàng zhǎole yìjiā māo kā,We found a cat café on Dianping
53,袋子,dài zi,bag,1,,-,,,,,,,,请给我一个塑料袋子,qǐng gěi wǒ yī gè sù liào dài zi,Please give me a plastic bag
54,担心,dān​ xīn,anxious;worried,1,2,负担,burden,心,heart,,,,,我担心明天会下雨,Wǒ dānxīn míngtiān huì xiàyǔ,I am worried that it will rain tomorrow
55,登出,dēng chū,log out,1,2,登记,to register,出,to go out,,,,,记得登出账号,Jìdé dēngchū zhànghào,Remember to log out of your account
56,登录,dēng lù,log in,1,4,登记,to register,记录,to record,,,,,登录账号才能看,Dēnglù zhànghào cái néng kàn,You need to log in to view
57,弟弟,dì di,younger brother,1,,-,,,,,,,,我弟弟性格很活泼,wǒ dì di xìng gé hěn huó pō,My younger brother is very lively
58,滴滴,dī dī,Chinese Uber,1,4,滴,drip,滴,drip,,,,,他用滴滴打车去公司,tā yòng dīdī dǎchē qù gōngsī,He used Didi to get a ride to the office
59,电动车,diàn dòng chē,electric vehicle,1,2,电,electric,动,move,车,vehicle,,,他买了一辆电动车,tā mǎi le yī liàng diàn dòng chē,he bought an electric scooter
60,电话,diàn huà,telephone;phone call,1,2,电,electricity,话,speech,,,,,我给你打个电话,wǒ gěi nǐ dǎ gè diàn huà,I will give you a call
61,电脑,diàn nǎo,computer,1,1,电,electric,脑子,brain,,,,,我需要一台新电脑,wǒ xū yào yī tái xīn diàn nǎo,I need a new computer
62,电视,diàn shì,television,1,2,电,electricity,视频,video,,,,,他们正在看电视,Tāmen zhèngzài kàn diànshì,They are watching TV
63,电梯,diàn tī,elevator,1,2,电,electric,梯,ladder,,,,,他们坐电梯上楼,tā men zuò diàn tī shàng lóu,they took the elevator upstairs
64,电影,diàn yǐng,movie,1,2,电,electricity,影子,shadow,,,,,我们昨天看了一场电影,wǒ men zuó tiān kàn le yī chǎng diàn yǐng,we watched a movie yesterday
65,掉头,diào tóu,U-turn,1,3,掉,to fall;drop,头,head,,,,,前面掉头往回走,Qiánmiàn diàotóu wǎng huí zǒu,Make a U-turn up ahead
66,订阅,dìng yuè,to subscribe;subscription,1,2,预订,to book,阅读,to read,,,,,我订阅了这个频道,Wǒ dìngyuè le zhège píndào,I subscribed to this channel
67,洞,dòng,hole,1,,-,,,,,,,,墙上有一个小洞,qiáng shàng yǒu yī gè xiǎo dòng,there is a small hole in the wall
68,动词,dòng cí,verb,1,1,动,move,词,word,,,,,跑是一个常见的动词,pǎo shì yī gè cháng jiàn de dòng cí,run is a common verb
69,动物,dòng ​wù,animal,1,2,运动,to move,物,thing,,,,,动物园里有很多动物,dòng wù yuán lǐ yǒu hěn duō dòng wù,there are many animals in the zoo
70,东西,dōng xī,thing;stuff,1,3,东,east,西,west,,,,,我买了一些东西,wǒ mǎi le yī xiē dōng xī,I bought some things
71,豆腐,dòu​ fu,tofu,1,2,豆,bean,腐烂,rot,,,,,她做了一碗豆腐汤,tā zuò le yī wǎn dòu fǔ tāng,she made a bowl of tofu soup
72,豆浆,dòu jiāng,soy milk,1,3,豆,bean,浆,pulp,,,,,早上我喝一杯豆浆,zǎo shàng wǒ hē yī bēi dòu jiāng,I drink a cup of soy milk in the morning
73,堵车,dǔ chē,traffic jam,1,2,堵塞,blockage,车,car,,,,,我们在高速公路上堵车了,Wǒmen zài gāosù gōnglù shàng dǔchē le,We got stuck in traffic on the highway
74,肚子,dù zi,stomach,1,,-,,,,,,,,我肚子疼,可能吃坏了,wǒ dù zi téng
75,队友,duì yǒu,teammate,1,2,队,team,友,friend,,,,,我的队友们都很可靠,Wǒ de duìyǒumen dōu hěn kěkào,My teammates are all reliable
76,多少,duō shǎo,how many,1,1,多,many,少,few,,,,,这个多少钱,zhè gè duō shǎo qián,how much is this
77,饿了么,è le me,Chinese DoorDash,1,2,饿了,hungry,什么,what,,,,,中午我在饿了么点了一份外卖,zhōngwǔ wǒ zài èleme mě diǎn le yífèn wàimài,I ordered takeout on Eleme at noon
78,俄罗斯,è luó sī,Russia,1,,-,,,,,,,,俄罗斯的冬天很冷,é luó sī de dōng tiān hěn lěng,winter in russia is very cold
79,耳机,ěr jī,headphones,1,1,耳,ear,机,machine,,,,,我的耳机丢了,wǒ de ěrjī diū le,I lost my earphones
80,二维码,èr wéi mǎ,QR code,1,2,二维,two-dimensional,码,code,,,,,扫码这个二维码,Sǎomǎ zhège èrwéimǎ,Scan this QR code
81,儿子,ér zi,son,1,,-,,,,,,,,他儿子今年刚上小学。,tā érzi jīnnián gāng shàng xiǎoxué.,His son just started primary school this year.
82,发球,fā qiú,serve (ball),1,2,发,to send out,球,ball,,,,,他发球的速度非常快,Tā fāqiú de sùdù fēicháng kuài,His serve is very fast
83,房地产,fáng dì chǎn,real estate,1,2,房,house,地,land,财产,property,,,他在做房地产,Tā zài zuò fángdìchǎn,He works in real estate
84,房间,fáng jiān,room,1,3,房子,house,空间,space,,,,,我的房间很整洁,wǒ de fáng jiān hěn zhěng jié,my room is very tidy
85,防晒霜,fáng shài shuāng,sunscreen,1,2,防止,prevent,晒伤,sunburn,霜,frost,,,记得涂防晒霜,Jìdé tú fángshàishuāng,Remember to apply sunscreen
86,方言,fāng yán,dialect,1,2,地方,place,言,speech,,,,,他会说三种方言,Tā huì shuō sān zhǒng fāngyán,He can speak three dialects
87,飞,fēi,to fly,1,,-,,,,,,,,鸟儿在天空中自由地飞,niǎo er zài tiān kōng zhōng zì yóu de fēi,Birds fly freely in the sky
88,非常,fēi cháng,very,1,2,非,not,正常,regular,,,,,他非常聪明,tā fēi cháng cōng míng,he is very smart
89,非法,fēi fǎ,illegal,1,2,非,not,法,law,,,,,这种行为是非法的,Zhè zhǒng xíngwéi shì fēifǎ de,This behavior is illegal
90,飞机,fēi jī,airplane,1,1,飞,to fly,机,machine,,,,,他坐飞机去上海,tā zuò fēi jī qù shàng hǎi,he took a plane to Shanghai
91,分手,fēn shǒu,break up,1,1,分开,to separate,手,hand,,,,,他们昨天分手了,tā men zuó tiān fēn shǒu le,they broke up yesterday
92,分享,fēn xiǎng,share,1,3,分,to divide,享受,enjoy,,,,,我想和你分享这个,Wǒ xiǎng hé nǐ fēnxiǎng zhège,I want to share this with you
93,风扇,fēng shàn,electric fan,1,4,风,wind,扇,fan,,,,,风扇开得太大了,Fēngshàn kāi de tài dà le,The fan is on too high
94,父亲,fù qīn,father (formal),1,,-,,,,,,,,他一直以父亲为榜样。,tā yìzhí yǐ fùqīn wéi bǎngyàng.,He has always looked up to his father.
95,负一楼,fù yī lóu,B1;basement level 1,1,2,负面,negative,一,one,楼,floor,,,超市在负一楼,Chāoshì zài fù yī lóu,The supermarket is on basement level one
96,刚好,gāng hǎo,just;exactly;happen to,1,2,刚才,just now,好,good,,,,,我刚好有时间帮你,Wǒ gānghǎo yǒu shíjiān bāng nǐ,I just happen to have time to help you
97,高考,gāo kǎo,college entrance exam,1,3,高中,high school,考试,exam,,,,,她正在准备高考,tā zhèng zài zhǔn bèi gāo kǎo,she is preparing for the college entrance exam
98,高铁,gāo tiě,high speed rail,1,2,高,high,地铁,subway,,,,,我们坐高铁去上海,wǒ men zuò gāo tiě qù shàng hǎi,we took the high speed train to Shanghai
99,胳膊,gē bó,arm,1,,-,,,,,,,,我胳膊酸痛所以今天不锻炼了,Wǒ gēbo suāntòng suǒyǐ jīntiān bú duànliàn le,My arm is sore so I won’t work out today
100,哥哥,gē ge,older brother,1,,-,,,,,,,,我哥哥经常带我出去运动,wǒ gē ge jīng cháng dài wǒ chū qù yùn dòng,My older brother often takes me out to exercise
101,各种,gè zhǒng,various types;all kinds,1,3,各,each,种,type,,,,,我喜欢各种口味的冰淇淋,Wǒ xǐhuān gèzhǒng kǒuwèi de bīngqílín,I like ice cream of all flavors
102,更新,gēng xīn,to update;renew,1,1,更,more,新,new,,,,,手机需要更新系统,shǒu jī xū yào gēng xīn xì tǒng,the phone needs a system update
103,共产党,gòng chǎn dǎng,communist party,1,4,共,common,产品,product,党,political party,,,他是共产党员,Tā shì gòngchǎndǎng yuán,He is a member of the Communist Party
104,公共汽车,gōng gòng qì chē,bus,1,2,公共,public,汽车,car,,,,,我们坐公共汽车去市中心,wǒ men zuò gōng gòng qì chē qù shì zhōng xīn,we took a bus to the city center
105,公交车,gōng jiāo chē,bus,1,2,公共,public,交通,transportation,车,vehicle,,,我每天坐公交车上班。,wǒ měi tiān zuò gōng jiāo chē shàng bān.,I take the bus to work every day.
106,工具,gōng jù,tool,1,4,工作,work,具体,specific,,,,,这些工具要放回工具箱里。,zhè xiē gōng jù yào fàng huí gōng jù xiāng lǐ.,These tools should be put back in the toolbox.
107,公里,gōng​ lǐ,kilometer,1,3,公,public,哪里,where,,,,,学校离这里五公里,xué xiào lí zhè lǐ wǔ gōng lǐ,the school is five kilometers from here
108,狗,gǒu,dog,1,,-,,,,,,,,我的狗喜欢跑步,wǒ de gǒu xǐ huān pǎo bù,My dog likes running
109,股票,gǔ piào,stock,1,2,屁股,butt,票,ticket,,,,,他正在研究股票市场,Tā zhèngzài yánjiū gǔpiào shìchǎng,He is studying the stock market
110,关税,guān shuì,tariff,1,1,关系,relationship,税,tax,,,,,政府提高了进口关税,Zhèngfǔ tígāo le jìnkǒu guānshuì,The government increased import tariffs
111,关注,guān zhù,focus on;to follow,1,,-,,,,,,,,我很关注这件事,Wǒ hěn guānzhù zhè jiàn shì,I care a lot about this matter
112,广告,guǎng gào,ad;advertisement,1,2,广场,plaza,告诉,to tell,,,,,我在电视上看到了广告,wǒ zài diàn shì shàng kàn dào le guǎng gào,I saw an advertisement on TV
113,过去的,guò qù de,past,1,,-,,,,,,,,这些是过去的照片,Zhèxiē shì guòqù de zhàopiàn,These are past photos
114,海关,hǎi guān,customs,1,2,海,sea,关,to close,,,,,我们在机场经过海关,wǒ men zài jī chǎng jīng guò hǎi guān,we passed through customs at the airport
115,海鲜,hǎi xiān,seafood,1,2,海,sea,鲜,fresh,,,,,我喜欢吃海鲜,wǒ xǐ huān chī hǎi xiān,I like to eat seafood
116,孩子,hái zi,child,1,,-,,,,,,,,孩子在公园里玩得很开心,hái zi zài gōng yuán lǐ wán de hěn kāi xīn,the child is having fun in the park
117,汗,hàn,sweat,1,,-,,,,,,,,他跑步后满身大汗,tā pǎo bù hòu mǎn shēn dà hàn,he was covered in sweat after running
118,汉堡,hàn bǎo,hamburger,1,3,汉,Chinese,堡,castle,包,wrap,,,他点了一个汉堡包,tā diǎn le yī gè hàn bǎo bāo,he ordered a hamburger
119,好奇,hào qí,curious,1,2,好,good,奇怪,strange,,,,,小孩对一切都很好奇,xiǎo hái duì yī qiè dōu hěn hào qí,children are curious about everything
120,黑,hēi,black,1,,-,,,,,,,,这件衣服是黑色的,zhè jiàn yī fú shì hēi sè de,This piece of clothing is black
121,黑客,hēi kè,hacker,1,2,黑,black,客,guest,,,,,黑客入侵了网站,hēi kè rù qīn le wǎng zhàn,a hacker attacked the website
122,红,hóng,red,1,,-,,,,,,,,她选了一条红色的裙子,tā xuǎn le yì tiáo hóng sè de qún zi,She chose a red dress
123,烘焙店,hōng bèi diàn,bakery,1,2,烘焙,to bake,店,shop,,,,,这家烘焙店的蛋糕很受欢迎,Zhè jiā hōngbèidiàn de dàngāo hěn shòu huānyíng,The cakes in this bakery are very popular
124,后悔,hòu huǐ,to regret,1,2,后,after,悔恨,remorse,,,,,我从来没有后悔过这个决定,Wǒ cónglái méiyǒu hòuhuǐ guò zhège juédìng,I have never regretted this decision
125,猴子,hóu zi,monkey,1,,-,,,,,,,,动物园里有很多猴子。,dòng wù yuán lǐ yǒu hěn duō hóu zi.,there are many monkeys in the zoo.
126,胡萝卜,hú​ luó ​bo,carrot,1,3,胡子,beard,萝卜,radish,,,,,我不喜欢吃胡萝卜,Wǒ bù xǐhuān chī húluóbo,I don't like carrots
127,花生,huā shēng,peanut,1,3,花,flower,生,life,,,,,我对花生过敏,wǒ duì huā shēng guò mǐn,I am allergic to peanuts
128,话题,huà tí,topic,1,2,说话,say,主题,theme,,,,,他们换了一个新的话题,tā men huàn le yī gè xīn de huà tí,they changed to a new topic
129,滑雪,huá xuě,ski,1,1,滑,slide,雪,snow,,,,,他第一次学滑雪就摔倒了,Tā dì yī cì xué huáxuě jiù shuāidǎo le,He fell the first time he tried skiing
130,黄,huáng,yellow,1,,-,,,,,,,,这件外套是黄色的,zhè jiàn wài tào shì huáng sè de,This coat is yellow
131,黄瓜,huáng guā,cucumber,1,1,黄,yellow,瓜,melon,,,,,我午餐吃了一根黄瓜,wǒ wǔ cān chī le yī gēn huáng guā,I ate a cucumber for lunch
132,黄金,huáng jīn,gold,1,1,黄,yellow,金,metal,,,,,他买了一条黄金项链,tā mǎi le yī tiáo huáng jīn xiàng liàn,he bought a gold necklace
133,黄油,huáng yóu,butter,1,1,黄,yellow,油,oil,,,,,我喜欢在面包上抹黄油,wǒ xǐ huān zài miàn bāo shàng mǒ huáng yóu,I like to spread butter on bread
134,灰色,huī sè,gray,1,3,灰,ash,色彩,color,,,,,今天的天空是灰色的,jīn tiān de tiān kōng shì huī sè de,The sky is gray today
135,回信,huí xìn,to reply (message),1,2,回,return,信,letter,,,,,谢谢你的回信,Xièxie nǐ de huíxìn,Thanks for your reply
136,会员,huì yuán,member,1,,-,,,,,,,,我是这家店的会员。,wǒ shì zhè jiā diàn de huì yuán.,I am a member of this store.
137,火车,huǒ chē,train,1,2,火,fire,车,car,,,,,他们坐火车去北京,tā men zuò huǒ chē qù běi jīng,they took the train to Beijing
138,获得,huò dé,to get;obtain,1,,-,,,,,,,,他努力工作终于获得了成功,Tā nǔlì gōngzuò zhōngyú huòdé le chénggōng,He worked hard and finally achieved success
139,基础设施,jī chǔ shè shī,infrastructure,1,2,基础,base,设施,facilities,,,,,这里基础设施很好,Zhèlǐ jīchǔ shèshī hěn hǎo,The infrastructure here is good
140,几乎,jī hū,almost,1,,-,,,,,,,,我几乎忘了这事,Wǒ jīhū wàng le zhè shì,I almost forgot about it
141,机会,jī huì,opportunity;chance,1,3,机,machine,会,to be able to,,,,,这次机会很难得,Zhè cì jīhuì hěn nándé,This is a rare opportunity
142,纪念日,jì niàn rì,anniversary,1,1,纪念,commemorate,日,day,,,,,今天是他们的结婚纪念日。,Jīntiān shì tāmen de jiéhūn jìniànrì.,Today is their wedding anniversary.
143,技术,jì shù,technology,1,2,技,skill,术,art,,,,,他掌握了很多先进的技术,Tā zhǎngwò le hěn duō xiānjìn de jìshù,He has mastered many advanced technologies
144,鸡爪,jī zhuǎ,chicken feet,1,3,鸡,chicken,爪,claw,,,,,他点了一份辣味鸡爪,tā diǎn le yī fèn là wèi jī zhuǎ,he ordered spicy chicken feet
145,假期,jià qī,vacation,1,1,假,fake,期,period of time,,,,,我假期打算去北京玩,Wǒ jiàqī dǎsuàn qù Běijīng wán,I plan to visit Beijing during the holiday
146,加热,jiā rè,heat up,1,2,加,add,热,heat,,,,,把牛奶加热一下,bǎ niú nǎi jiā rè yī xià,heat up the milk
147,肩膀,jiān bǎng,shoulder,1,,-,,,,,,,,他拍了拍我的肩膀,Tā pāi le pāi wǒ de jiānbǎng,He patted my shoulder
148,坚果,jiān guǒ,nut,1,2,坚定,firm;staunch,果,fruit,,,,,每天吃一些坚果对身体有好处,Měitiān chī yīxiē jiānguǒ duì shēntǐ yǒu hǎochù,Eating some nuts every day is good for your health
149,建设,jiàn shè,construction;to build,1,,-,,,,,,,,城市建设速度非常快,chéng shì jiàn shè sù dù fēi cháng kuài,The city’s construction is progressing very quickly
150,健身,jiàn shēn,fitness,1,2,健康,health,身,body,,,,,我下班去健身,Wǒ xiàbān qù jiànshēn,I go to work out after work
151,降低,jiàng dī,to lower;reduce,1,4,降,to drop,低,low,,,,,我们需要降低成本,Wǒmen xūyào jiàngdī chéngběn,We need to lower the cost
152,脚,jiǎo,foot,1,,-,,,,,,,,我的脚有点疼,wǒ de jiǎo yǒu diǎn téng,my foot hurts a little
153,交流,jiāo liú,communication,1,4,交通,traffic,流,to flow,,,,,我们经常交流想法,Wǒmen jīngcháng jiāoliú xiǎngfǎ,We often share ideas
154,教授,jiào shòu,professor,1,,-,,,,,,,,我的教授很严格也很有经验,Wǒ de jiàoshòu hěn yángé yě hěn yǒu jīngyàn,My professor is strict but also very experienced
155,焦糖,jiāo táng,caramel,1,1,焦,burnt,糖,candy,,,,,这杯咖啡有焦糖味道,Zhè bēi kāfēi yǒu jiāotáng wèidào,This coffee has a caramel flavor
156,脚趾,jiǎo zhǐ,toe,1,,-,,,,,,,,她踢到桌子伤了脚趾,Tā tī dào zhuōzi shāng le jiǎozhǐ,She hurt her toe by kicking the table
157,姐姐,jiě jie,older sister,1,,-,,,,,,,,我姐姐工作特别忙,wǒ jiě jie gōng zuò tè bié máng,My older sister is extremely busy
158,解释,jiě shì,explain,1,5,芝麻,seasme,博士,doctor,,,,,我来解释一下,Wǒ lái jiěshì yīxià,Let me explain
159,近日,jìn rì,recent days,1,1,近,near,日,day,,,,,近日天气变得很冷。,Jìnrì tiānqì biànde hěn lěng.,The weather has become very cold recently.
160,金融,jīn róng,finance;banking,1,2,金,metal,融化,to melt,,,,,他在一家金融公司工作,Tā zài yī jiā jīnróng gōngsī gōngzuò,He works at a finance company
161,经理,jīng lǐ,manager,1,3,经济,economy,管理,to manage,,,,,经理今天没来,Jīnglǐ jīntiān méi lái,The manager didn't come today
162,酒店,jiǔ diàn,hotel,1,3,酒,alcohol,店,store,,,,,我们在海边的酒店住了一晚,wǒ men zài hǎi biān de jiǔ diàn zhù le yī wǎn,We stayed one night at a seaside hotel
163,具体,jù tǐ,specific,1,3,具,tool,身体,body,,,,,能说得具体一点吗,Néng shuō de jùtǐ yīdiǎn ma,Can you be more specific
164,开关,kāi guān,power switch;switch,1,1,开,open,关,close,,,,,这个灯的开关在墙上,zhè gè dēng de kāi guān zài qiáng shàng,the switch for this light is on the wall
165,开心,kāi xīn,happy,1,2,开心,open,心,heart,,,,,今天我很开心,jīn tiān wǒ hěn kāi xīn,I am very happy today
166,刻板印象,kè bǎn yìn xiàng,stereotype,1,1,刻板,stiff,印象,impression,,,,,不要用刻板印象去评价别人,bù yào yòng kè bǎn yìn xiàng qù píng jià bié rén,do not judge others with stereotypes
167,可惜,kě xí,what a pity;unfortunately,1,3,可,can,惜,pity,,,,,可惜他没来参加聚会,kě xī tā méi lái cān jiā jù huì,its a pity he did not come to the party
168,可爱,kě'ài,cute,1,2,可以,can,爱,love,,,,,这只小猫很可爱,zhè zhī xiǎo māo hěn kě ài,this kitten is very cute
169,空调,kòng tiáo,air conditioning,1,1,空气,air,调,adjust,,,,,夏天开空调很舒服,xià tiān kāi kōng tiáo hěn shū fú,turning on the air conditioner in summer is very comfortable
170,孔子,kǒng zǐ,Confucius,1,,-,,,,,,,,我们在课上学孔子,Wǒmen zài kè shàng xué Kǒngzǐ,We study Confucius in class
171,口音,kǒu yīn,accent,1,1,口,mouth,音调,pitch;tone,,,,,他的四川口音特别明显。,tā de sìchuān kǒuyīn tèbié míngxiǎn.,His Sichuan accent is very noticeable.
